// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557
// command took 1.1s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.41 sec)   *****
// Found 7 benchmarks:
//   LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForeachSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForToArray: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]

// **************************
// Benchmark: LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.Foreach(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 0 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadJitting  2: 16 op, 383300.00 ns, 23.9563 us/op

WorkloadPilot    1: 16 op, 900.00 ns, 56.2500 ns/op
WorkloadPilot    2: 32 op, 1400.00 ns, 43.7500 ns/op
WorkloadPilot    3: 64 op, 2300.00 ns, 35.9375 ns/op
WorkloadPilot    4: 128 op, 4400.00 ns, 34.3750 ns/op
WorkloadPilot    5: 256 op, 8400.00 ns, 32.8125 ns/op
WorkloadPilot    6: 512 op, 16100.00 ns, 31.4453 ns/op
WorkloadPilot    7: 1024 op, 30800.00 ns, 30.0781 ns/op
WorkloadPilot    8: 2048 op, 60500.00 ns, 29.5410 ns/op
WorkloadPilot    9: 4096 op, 112400.00 ns, 27.4414 ns/op
WorkloadPilot   10: 8192 op, 235700.00 ns, 28.7720 ns/op
WorkloadPilot   11: 16384 op, 444400.00 ns, 27.1240 ns/op
WorkloadPilot   12: 32768 op, 913700.00 ns, 27.8839 ns/op
WorkloadPilot   13: 65536 op, 1834700.00 ns, 27.9953 ns/op
WorkloadPilot   14: 131072 op, 3322700.00 ns, 25.3502 ns/op
WorkloadPilot   15: 262144 op, 7046600.00 ns, 26.8806 ns/op
WorkloadPilot   16: 524288 op, 13375900.00 ns, 25.5125 ns/op
WorkloadPilot   17: 1048576 op, 26657600.00 ns, 25.4227 ns/op
WorkloadPilot   18: 2097152 op, 53955500.00 ns, 25.7280 ns/op
WorkloadPilot   19: 4194304 op, 106626400.00 ns, 25.4217 ns/op
WorkloadPilot   20: 8388608 op, 213723700.00 ns, 25.4779 ns/op
WorkloadPilot   21: 16777216 op, 427206900.00 ns, 25.4635 ns/op
WorkloadPilot   22: 33554432 op, 855393300.00 ns, 25.4927 ns/op

OverheadWarmup   1: 33554432 op, 47127400.00 ns, 1.4045 ns/op
OverheadWarmup   2: 33554432 op, 46535900.00 ns, 1.3869 ns/op
OverheadWarmup   3: 33554432 op, 46894200.00 ns, 1.3976 ns/op
OverheadWarmup   4: 33554432 op, 46285300.00 ns, 1.3794 ns/op
OverheadWarmup   5: 33554432 op, 47150900.00 ns, 1.4052 ns/op
OverheadWarmup   6: 33554432 op, 46281600.00 ns, 1.3793 ns/op

OverheadActual   1: 33554432 op, 46248200.00 ns, 1.3783 ns/op
OverheadActual   2: 33554432 op, 46495600.00 ns, 1.3857 ns/op
OverheadActual   3: 33554432 op, 46519300.00 ns, 1.3864 ns/op
OverheadActual   4: 33554432 op, 46340200.00 ns, 1.3810 ns/op
OverheadActual   5: 33554432 op, 47671900.00 ns, 1.4207 ns/op
OverheadActual   6: 33554432 op, 46179900.00 ns, 1.3763 ns/op
OverheadActual   7: 33554432 op, 46339300.00 ns, 1.3810 ns/op
OverheadActual   8: 33554432 op, 46257100.00 ns, 1.3786 ns/op
OverheadActual   9: 33554432 op, 46323600.00 ns, 1.3806 ns/op
OverheadActual  10: 33554432 op, 46839700.00 ns, 1.3959 ns/op
OverheadActual  11: 33554432 op, 47243200.00 ns, 1.4080 ns/op
OverheadActual  12: 33554432 op, 46993500.00 ns, 1.4005 ns/op
OverheadActual  13: 33554432 op, 46286500.00 ns, 1.3794 ns/op
OverheadActual  14: 33554432 op, 46313700.00 ns, 1.3803 ns/op
OverheadActual  15: 33554432 op, 48586700.00 ns, 1.4480 ns/op

WorkloadWarmup   1: 33554432 op, 857531400.00 ns, 25.5564 ns/op
WorkloadWarmup   2: 33554432 op, 855445100.00 ns, 25.4943 ns/op
WorkloadWarmup   3: 33554432 op, 853219600.00 ns, 25.4279 ns/op
WorkloadWarmup   4: 33554432 op, 856655900.00 ns, 25.5303 ns/op
WorkloadWarmup   5: 33554432 op, 859500600.00 ns, 25.6151 ns/op
WorkloadWarmup   6: 33554432 op, 853949600.00 ns, 25.4497 ns/op
WorkloadWarmup   7: 33554432 op, 855498900.00 ns, 25.4959 ns/op
WorkloadWarmup   8: 33554432 op, 854805300.00 ns, 25.4752 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 855683000.00 ns, 25.5013 ns/op
WorkloadActual   2: 33554432 op, 861157800.00 ns, 25.6645 ns/op
WorkloadActual   3: 33554432 op, 861707200.00 ns, 25.6809 ns/op
WorkloadActual   4: 33554432 op, 859994700.00 ns, 25.6298 ns/op
WorkloadActual   5: 33554432 op, 1098243600.00 ns, 32.7302 ns/op
WorkloadActual   6: 33554432 op, 855392100.00 ns, 25.4927 ns/op
WorkloadActual   7: 33554432 op, 863291600.00 ns, 25.7281 ns/op
WorkloadActual   8: 33554432 op, 854843300.00 ns, 25.4763 ns/op
WorkloadActual   9: 33554432 op, 856584000.00 ns, 25.5282 ns/op
WorkloadActual  10: 33554432 op, 852875900.00 ns, 25.4177 ns/op
WorkloadActual  11: 33554432 op, 876130000.00 ns, 26.1107 ns/op
WorkloadActual  12: 33554432 op, 861039200.00 ns, 25.6610 ns/op
WorkloadActual  13: 33554432 op, 852557400.00 ns, 25.4082 ns/op
WorkloadActual  14: 33554432 op, 870054800.00 ns, 25.9297 ns/op
WorkloadActual  15: 33554432 op, 854665800.00 ns, 25.4710 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 809342800.00 ns, 24.1203 ns/op
WorkloadResult   2: 33554432 op, 814817600.00 ns, 24.2835 ns/op
WorkloadResult   3: 33554432 op, 815367000.00 ns, 24.2998 ns/op
WorkloadResult   4: 33554432 op, 813654500.00 ns, 24.2488 ns/op
WorkloadResult   5: 33554432 op, 809051900.00 ns, 24.1116 ns/op
WorkloadResult   6: 33554432 op, 816951400.00 ns, 24.3470 ns/op
WorkloadResult   7: 33554432 op, 808503100.00 ns, 24.0953 ns/op
WorkloadResult   8: 33554432 op, 810243800.00 ns, 24.1471 ns/op
WorkloadResult   9: 33554432 op, 806535700.00 ns, 24.0366 ns/op
WorkloadResult  10: 33554432 op, 814699000.00 ns, 24.2799 ns/op
WorkloadResult  11: 33554432 op, 806217200.00 ns, 24.0271 ns/op
WorkloadResult  12: 33554432 op, 823714600.00 ns, 24.5486 ns/op
WorkloadResult  13: 33554432 op, 808325600.00 ns, 24.0900 ns/op

// AfterAll
// Benchmark Process 7448 has exited with code 0

Mean = 24.2028 ns, StdErr = 0.0412 ns (0.17%); N = 13, StdDev = 0.1487 ns
Min = 24.0271 ns, Q1 = 24.0926 ns, Median = 24.1471 ns, Q3 = 24.2916 ns, Max = 24.5486 ns
IQR = 0.1990 ns, LowerFence = 23.7941 ns, UpperFence = 24.5902 ns
ConfidenceInterval = [24.0247 ns; 24.3808 ns] (CI 99.9%), Margin = 0.1781 ns (0.74% of Mean)
Skewness = 0.75, Kurtosis = 2.68, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\Bdn1.LoopOverArrayOfBytes-report.csv
  BenchmarkDotNet.Artifacts\results\Bdn1.LoopOverArrayOfBytes-report-github.md
  BenchmarkDotNet.Artifacts\results\Bdn1.LoopOverArrayOfBytes-report.html
  BenchmarkDotNet.Artifacts\results\Bdn1.LoopOverArrayOfBytes-disassembly-report.html
  BenchmarkDotNet.Artifacts\results\Bdn1.LoopOverArrayOfBytes-asm.raw.html
  BenchmarkDotNet.Artifacts\results\Bdn1.LoopOverArrayOfBytes-asm.pretty.html
  BenchmarkDotNet.Artifacts\results\Bdn1.LoopOverArrayOfBytes-asm.pretty.md

// * Detailed results *
LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 23.9101 ns, StdErr = 0.0207 ns (0.09%); N = 15, StdDev = 0.0803 ns
Min = 23.8380 ns, Q1 = 23.8443 ns, Median = 23.8741 ns, Q3 = 23.9665 ns, Max = 24.1206 ns
IQR = 0.1222 ns, LowerFence = 23.6609 ns, UpperFence = 24.1499 ns
ConfidenceInterval = [23.8243 ns; 23.9960 ns] (CI 99.9%), Margin = 0.0858 ns (0.36% of Mean)
Skewness = 1.1, Kurtosis = 3.47, MValue = 2
-------------------- Histogram --------------------
[23.810 ns ; 24.149 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

LoopOverArrayOfBytes.ForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 25.4801 ns, StdErr = 0.0454 ns (0.18%); N = 14, StdDev = 0.1700 ns
Min = 25.2448 ns, Q1 = 25.3892 ns, Median = 25.4448 ns, Q3 = 25.6679 ns, Max = 25.7684 ns
IQR = 0.2788 ns, LowerFence = 24.9710 ns, UpperFence = 26.0861 ns
ConfidenceInterval = [25.2884 ns; 25.6718 ns] (CI 99.9%), Margin = 0.1917 ns (0.75% of Mean)
Skewness = 0.39, Kurtosis = 1.74, MValue = 2
-------------------- Histogram --------------------
[25.183 ns ; 25.830 ns) | @@@@@@@@@@@@@@
---------------------------------------------------

LoopOverArrayOfBytes.ForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 23.8425 ns, StdErr = 0.0128 ns (0.05%); N = 15, StdDev = 0.0496 ns
Min = 23.7975 ns, Q1 = 23.8029 ns, Median = 23.8125 ns, Q3 = 23.9021 ns, Max = 23.9298 ns
IQR = 0.0992 ns, LowerFence = 23.6541 ns, UpperFence = 24.0509 ns
ConfidenceInterval = [23.7896 ns; 23.8955 ns] (CI 99.9%), Margin = 0.0530 ns (0.22% of Mean)
Skewness = 0.59, Kurtosis = 1.45, MValue = 2
-------------------- Histogram --------------------
[23.780 ns ; 23.948 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

LoopOverArrayOfBytes.ListForeachSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 224.6942 ns, StdErr = 0.1148 ns (0.05%); N = 14, StdDev = 0.4295 ns
Min = 224.3363 ns, Q1 = 224.4196 ns, Median = 224.4604 ns, Q3 = 225.0824 ns, Max = 225.7084 ns
IQR = 0.6629 ns, LowerFence = 223.4253 ns, UpperFence = 226.0768 ns
ConfidenceInterval = [224.2097 ns; 225.1787 ns] (CI 99.9%), Margin = 0.4845 ns (0.22% of Mean)
Skewness = 1.08, Kurtosis = 2.73, MValue = 2
-------------------- Histogram --------------------
[224.180 ns ; 225.864 ns) | @@@@@@@@@@@@@@
---------------------------------------------------

LoopOverArrayOfBytes.ListForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 45.7295 ns, StdErr = 0.0352 ns (0.08%); N = 14, StdDev = 0.1319 ns
Min = 45.5816 ns, Q1 = 45.6162 ns, Median = 45.6932 ns, Q3 = 45.8103 ns, Max = 46.0429 ns
IQR = 0.1941 ns, LowerFence = 45.3250 ns, UpperFence = 46.1015 ns
ConfidenceInterval = [45.5807 ns; 45.8782 ns] (CI 99.9%), Margin = 0.1488 ns (0.33% of Mean)
Skewness = 0.84, Kurtosis = 2.76, MValue = 2
-------------------- Histogram --------------------
[45.534 ns ; 46.091 ns) | @@@@@@@@@@@@@@
---------------------------------------------------

LoopOverArrayOfBytes.ListForToArray: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 39.4611 ns, StdErr = 0.0953 ns (0.24%); N = 15, StdDev = 0.3689 ns
Min = 38.9107 ns, Q1 = 39.1736 ns, Median = 39.5557 ns, Q3 = 39.8067 ns, Max = 40.1052 ns
IQR = 0.6330 ns, LowerFence = 38.2241 ns, UpperFence = 40.7562 ns
ConfidenceInterval = [39.0667 ns; 39.8554 ns] (CI 99.9%), Margin = 0.3944 ns (1.00% of Mean)
Skewness = 0.02, Kurtosis = 1.67, MValue = 2
-------------------- Histogram --------------------
[38.780 ns ; 40.236 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

LoopOverArrayOfBytes.ListForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 24.2028 ns, StdErr = 0.0412 ns (0.17%); N = 13, StdDev = 0.1487 ns
Min = 24.0271 ns, Q1 = 24.0926 ns, Median = 24.1471 ns, Q3 = 24.2916 ns, Max = 24.5486 ns
IQR = 0.1990 ns, LowerFence = 23.7941 ns, UpperFence = 24.5902 ns
ConfidenceInterval = [24.0247 ns; 24.3808 ns] (CI 99.9%), Margin = 0.1781 ns (0.74% of Mean)
Skewness = 0.75, Kurtosis = 2.68, MValue = 2
-------------------- Histogram --------------------
[23.972 ns ; 24.604 ns) | @@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.0, OS=Windows 10.0.17763.737 (1809/October2018Update/Redstone5)
Intel Core i7-8700 CPU 3.20GHz (Coffee Lake), 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=3.1.100-preview1-014459
  [Host]     : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
  Job-ZDRRPD : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT

EnvironmentVariables=COMPLUS_TieredCompilation=1  Runtime=.NET Core 3.0  

|             Method |  N |      Mean |    Error |   StdDev | Ratio | RatioSD |
|------------------- |--- |----------:|---------:|---------:|------:|--------:|
|            Foreach | 50 |  23.91 ns | 0.086 ns | 0.080 ns |  1.00 |    0.00 |
|          ForSimple | 50 |  25.48 ns | 0.192 ns | 0.170 ns |  1.07 |    0.01 |
|     ForLocalCached | 50 |  23.84 ns | 0.053 ns | 0.050 ns |  1.00 |    0.00 |
|  ListForeachSimple | 50 | 224.69 ns | 0.485 ns | 0.429 ns |  9.40 |    0.04 |
|      ListForSimple | 50 |  45.73 ns | 0.149 ns | 0.132 ns |  1.91 |    0.01 |
|     ListForToArray | 50 |  39.46 ns | 0.394 ns | 0.369 ns |  1.65 |    0.01 |
| ListForLocalCached | 50 |  24.20 ns | 0.178 ns | 0.149 ns |  1.01 |    0.01 |

// * Hints *
Outliers
  LoopOverArrayOfBytes.ForSimple: EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0          -> 1 outlier  was  removed (28.28 ns)
  LoopOverArrayOfBytes.ListForeachSimple: EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0  -> 1 outlier  was  removed (242.91 ns)
  LoopOverArrayOfBytes.ListForSimple: EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0      -> 1 outlier  was  removed (47.78 ns)
  LoopOverArrayOfBytes.ListForLocalCached: EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0 -> 2 outliers were removed (26.11 ns, 32.73 ns)

// * Legends *
  N       : Value of the 'N' parameter
  Mean    : Arithmetic mean of all measurements
  Error   : Half of 99.9% confidence interval
  StdDev  : Standard deviation of all measurements
  Ratio   : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD : Standard deviation of the ratio distribution ([Current]/[Baseline])
  1 ns    : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - DisassemblyDiagnoser *
The results were exported to ".\BenchmarkDotNet.Artifacts\results\*-disassembly-report.html"

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:02:35 (155.94 sec), executed benchmarks: 7

Global total time: 00:02:39 (159.36 sec), executed benchmarks: 7
// * Artifacts cleanup *
